epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3884.9,2.85159,1.15003,0.82272,0.52058,0.41092,0.38141,0.10623,2.7007,1.06606,0.79562,0.0005546,0.0005546,0.0005546
75,3937.63,2.94758,1.19235,0.82393,0.48772,0.38783,0.35006,0.09712,2.78004,1.08838,0.80274,0.0005348,0.0005348,0.0005348
76,3989.84,2.88932,1.1432,0.81883,0.485,0.40851,0.36643,0.10025,2.80669,1.09447,0.79759,0.000515,0.000515,0.000515
77,4041.82,2.89649,1.19644,0.8081,0.46802,0.39398,0.34736,0.09179,2.8954,1.10257,0.7963,0.0004952,0.0004952,0.0004952
78,4094.43,2.85593,1.15455,0.81085,0.48963,0.40671,0.36659,0.10012,2.81917,1.08953,0.7964,0.0004754,0.0004754,0.0004754
79,4150.98,2.86539,1.1659,0.81441,0.5062,0.41128,0.38016,0.10625,2.74931,1.07854,0.79627,0.0004556,0.0004556,0.0004556
80,4203.66,2.85167,1.16103,0.8144,0.51668,0.41633,0.38919,0.10775,2.74736,1.08191,0.79525,0.0004358,0.0004358,0.0004358
81,4258.68,2.84973,1.12904,0.81513,0.51718,0.40815,0.38457,0.10539,2.78744,1.09081,0.79359,0.000416,0.000416,0.000416
82,4309.21,2.83151,1.14782,0.81086,0.52293,0.41101,0.39178,0.10802,2.76578,1.08113,0.79332,0.0003962,0.0003962,0.0003962
83,4364.69,2.80822,1.13058,0.81699,0.52891,0.41344,0.39863,0.1118,2.7247,1.06894,0.79362,0.0003764,0.0003764,0.0003764
84,4421.99,2.86462,1.16288,0.8148,0.52304,0.4138,0.39253,0.10826,2.74474,1.07368,0.79483,0.0003566,0.0003566,0.0003566
85,4479.81,2.87698,1.16831,0.82602,0.51966,0.40971,0.38611,0.10769,2.745,1.07085,0.79519,0.0003368,0.0003368,0.0003368
86,4533.74,2.85384,1.14959,0.81245,0.52215,0.40684,0.38807,0.11098,2.70333,1.06209,0.79633,0.000317,0.000317,0.000317
87,4587.83,2.81576,1.14933,0.81829,0.529,0.41753,0.39927,0.11473,2.67204,1.06073,0.79444,0.0002972,0.0002972,0.0002972
88,4643.27,2.77044,1.14491,0.82828,0.53013,0.41615,0.40012,0.11424,2.70112,1.07113,0.79264,0.0002774,0.0002774,0.0002774
89,4698.28,2.79245,1.14226,0.81615,0.52993,0.41585,0.39911,0.11241,2.72786,1.07364,0.79206,0.0002576,0.0002576,0.0002576
90,4749.73,2.79035,1.14413,0.82507,0.5283,0.41332,0.39696,0.11222,2.72201,1.06496,0.79266,0.0002378,0.0002378,0.0002378
91,4793.97,2.83,1.19669,0.82991,0.52722,0.41356,0.39151,0.11191,2.70291,1.05577,0.79426,0.000218,0.000218,0.000218
92,4839.68,2.84448,1.21488,0.82355,0.52531,0.41176,0.38208,0.10759,2.70317,1.07418,0.79439,0.0001982,0.0001982,0.0001982
93,4888.33,2.81819,1.16771,0.83656,0.53191,0.41285,0.3874,0.10942,2.68703,1.08181,0.79465,0.0001784,0.0001784,0.0001784
94,4930.69,2.77559,1.18196,0.83734,0.52976,0.41164,0.38559,0.11131,2.66894,1.07462,0.79555,0.0001586,0.0001586,0.0001586
95,4975.22,2.76011,1.13985,0.83638,0.52646,0.40959,0.38384,0.11107,2.67029,1.07174,0.79567,0.0001388,0.0001388,0.0001388
96,5028.2,2.82729,1.18062,0.83322,0.53038,0.41452,0.38821,0.10923,2.70428,1.0796,0.79321,0.000119,0.000119,0.000119
97,5077.27,2.77928,1.12957,0.82993,0.51843,0.40947,0.37744,0.10362,2.74936,1.09353,0.79236,9.92e-05,9.92e-05,9.92e-05
98,5127.66,2.78772,1.13316,0.81978,0.51782,0.41056,0.37661,0.1036,2.75982,1.0969,0.7924,7.94e-05,7.94e-05,7.94e-05
99,5177.12,2.78996,1.16817,0.8389,0.51986,0.41392,0.38022,0.10513,2.74158,1.09194,0.79231,5.96e-05,5.96e-05,5.96e-05
100,5229.2,2.75934,1.14156,0.83419,0.5337,0.4221,0.39444,0.10981,2.70482,1.08337,0.79202,3.98e-05,3.98e-05,3.98e-05
